"permit_number","streetname","Cross Street 1","Cross Street 2","Permit Type","Agent","AgentPhone","Permit Purpose","Approved Date","Status","cnn","permit_zipcode","permit_start_date","permit_end_date","permit_address","24/7 Contact","Inspector","CurbRampWork","X","Y","Latitude","Longitude","bpa","Location","the_geom","analysis_neighborhood","supervisor_district","data_as_of","data_loaded_at"
"25EXC-01889","HARKNESS AVE","SAN BRUNO AVE",,"Excavation","Cratus, Inc.","(415)939-2840","WD-2876    8-Inch Ductile Iron Water Main Replacement and 16-Inch Ductile Iron  Water Main Installation on San Bruno Ave. from Campbell Ave. to Paul Ave. and on Blanken Ave. from Bayshore Blvd. to Executive Park Blvd.","07/18/2025","ACTIVE","20556000","0","07/21/2025","02/28/2027",,"(800) 850-1874","Don Doan",,"6012103,63671","2089447,31023","37,71790629611","-122,40013147564",,"POINT (-122.4001314756427 37.717906296114045)","POINT (-122.400131476 37.717906296)","Visitacion Valley","10","2025/09/10 05:11:34 AM","2025/09/12 05:08:57 AM"
"25EXC-01889","BLANKEN AVE","EXECUTIVE PARK BLVD",,"Excavation","Cratus, Inc.","(415)939-2840","WD-2876    8-Inch Ductile Iron Water Main Replacement and 16-Inch Ductile Iron  Water Main Installation on San Bruno Ave. from Campbell Ave. to Paul Ave. and on Blanken Ave. from Bayshore Blvd. to Executive Park Blvd.","07/18/2025","ACTIVE","20263000","0","07/21/2025","02/28/2027",,"(800) 850-1874","Don Doan","true","6013587,855082","2086911,101397","37,71102501109","-122,39482362555",,"POINT (-122.39482362555422 37.71102501108646)","POINT (-122.394823626 37.711025011)","Bayview Hunters Point","10","2025/09/10 05:11:34 AM","2025/09/12 05:08:57 AM"
"25EXC-01889","CAMPBELL AVE","SAN BRUNO AVE",,"Excavation","Cratus, Inc.","(415)939-2840","WD-2876    8-Inch Ductile Iron Water Main Replacement and 16-Inch Ductile Iron  Water Main Installation on San Bruno Ave. from Campbell Ave. to Paul Ave. and on Blanken Ave. from Bayshore Blvd. to Executive Park Blvd.","07/18/2025","ACTIVE","20295000","0","07/21/2025","02/28/2027",,"(800) 850-1874","Don Doan","true","6012253,84613","2088527,95449","37,7153903038","-122,39954775358",,"POINT (-122.39954775357657 37.715390303797825)","POINT (-122.399547754 37.715390304)","Visitacion Valley","10","2025/09/10 05:11:34 AM","2025/09/12 05:08:57 AM"
"25EXC-01889","ORDWAY ST","SAN BRUNO AVE","GIRARD ST","Excavation","Cratus, Inc.","(415)939-2840","WD-2876    8-Inch Ductile Iron Water Main Replacement and 16-Inch Ductile Iron  Water Main Installation on San Bruno Ave. from Campbell Ave. to Paul Ave. and on Blanken Ave. from Bayshore Blvd. to Executive Park Blvd.","07/18/2025","ACTIVE","9972000","94134","07/21/2025","02/28/2027",,"(800) 850-1874","Don Doan",,"6011821,59758","2090323,08654","37,72029527046","-122,40116787202",,"POINT (-122.40116787201558 37.72029527046113)","POINT (-122.401167872 37.72029527)","Portola","10","2025/09/10 05:11:34 AM","2025/09/12 05:08:57 AM"
"25EXC-01889","WOOLSEY ST","SAN BRUNO AVE","GIRARD ST","Excavation","Cratus, Inc.","(415)939-2840","WD-2876    8-Inch Ductile Iron Water Main Replacement and 16-Inch Ductile Iron  Water Main Installation on San Bruno Ave. from Campbell Ave. to Paul Ave. and on Blanken Ave. from Bayshore Blvd. to Executive Park Blvd.","07/18/2025","ACTIVE","13723000","94134","07/21/2025","02/28/2027",,"(800) 850-1874","Don Doan",,"6011298,29671","2092085,51777","37,72510533681","-122,40310066567",,"POINT (-122.40310066566761 37.72510533680598)","POINT (-122.403100666 37.725105337)","Portola","9","2025/09/10 05:11:34 AM","2025/09/12 05:08:57 AM"
"25EXC-01889","BLANKEN AVE","WHEELER AVE","PENINSULA AVE","Excavation","Cratus, Inc.","(415)939-2840","WD-2876    8-Inch Ductile Iron Water Main Replacement and 16-Inch Ductile Iron  Water Main Installation on San Bruno Ave. from Campbell Ave. to Paul Ave. and on Blanken Ave. from Bayshore Blvd. to Executive Park Blvd.","07/18/2025","ACTIVE","2988000","94134","07/21/2025","02/28/2027",,"(800) 850-1874","Don Doan",,"6012241,56871","2087188,47354","37,71171167174","-122,39949620459",,"POINT (-122.39949620459221 37.71171167174087)","POINT (-122.399496205 37.711711672)","Bayview Hunters Point","10","2025/09/10 05:11:34 AM","2025/09/12 05:08:57 AM"
"26EXC-03591","MOUNTVIEW CT","START: 1-99 BLOCK","PANORAMA DR","Excavation","Pacific Gas & Electric","5102920681","45378503 -11 Mountview Ct.-FHE - gas","07/15/2026","APPROVED","9440000","94131","07/20/2026","09/15/2026",,"800-pge-5000","Mario Novoa",,"5997719,156","2100535,764","37,74754002362","-122,45065105656",,"POINT (-122.45065105656461 37.74754002361984)","POINT (-122.450651057 37.747540024)","Twin Peaks","7","2026/07/16 03:20:08 AM","2026/07/17 05:13:08 AM"
"26EXC-01641","CLAY ST","TORRENS CT","LARKIN ST","Excavation","Ronan Construction Inc.","415-779-5262","8th St, Clay St and Leavenworth St - Pavement Renovation and Sewer Replacement","04/15/2026","APPROVED","4104002","94109","05/01/2026","10/28/2026",,"415-779-5262",,,"6007208,27271","2116767,08016","37,79264594849","-122,41898926983",,"POINT (-122.4189892698286 37.79264594848839)","POINT (-122.41898927 37.792645948)","Nob Hill","3","2026/04/16 03:34:45 AM","2026/04/17 05:23:32 AM"
"26EXC-03674","09TH AVE","ORTEGA ST","PACHECO ST","Excavation","R & S Construction Management Inc","(415) 746-9564","WD-2927 - CSO#7 - 1908 9th Ave","08/18/2026","ACTIVE","438000","94116","08/31/2026","09/11/2026","1908 09TH AVE","415-872-9935","Roniesha Foster",,"5993507,00455","2102460,90793","37,75258396076","-122,46535611947",,"POINT (-122.4653561194718 37.75258396075738)","POINT (-122.465356119 37.752583961)","Inner Sunset","7","2026/08/19 03:11:00 AM","2026/08/20 05:22:26 AM"
"26EXC-01294","FULTON ST","21ST AVE","22ND AVE","Excavation","Pacific Gas & Electric","415-238-1286","EP 4628 FULTON STREET SAN FRANCISCO","06/26/2026","APPROVED","5928000","94121","09/10/2026","10/08/2026",,"800-pge-5000","Jeffrey Ramirez",,"5989301,91749","2109890,76175","37,77274091918","-122,48044167341",,"POINT (-122.48044167340757 37.77274091918472)","POINT (-122.480441673 37.772740919)","Golden Gate Park","1","2026/06/29 03:04:07 AM","2026/06/30 05:20:04 AM"
"26VDR-00028","MISSION ST","24TH ST","25TH ST","Referral","Ariel Perez","650-921-4783","Mission Pilot Program - 2865 Mission St","07/20/2026","APPROVED","9126000","94110","03/20/2026","01/18/2027","2865 MISSION ST","650-921-4783",,,"6007138,56075","2101674,12406","37,751200352","-122,4181599552",,"POINT (-122.4181599551997 37.751200352000176)","POINT (-122.418159955 37.751200352)","Mission","9","2026/07/21 03:02:39 AM","2026/07/22 05:23:39 AM"
"26EXC-01641","CLAY ST","LEAVENWORTH ST",,"Excavation","Ronan Construction Inc.","415-779-5262","8th St, Clay St and Leavenworth St - Pavement Renovation and Sewer Replacement","04/15/2026","APPROVED","25249000","0","05/01/2026","10/28/2026",,"415-779-5262",,"true","6008041,94031","2116883,89228","37,79301359462","-122,41611301646",,"POINT (-122.41611301646061 37.79301359462206)","POINT (-122.416113016 37.793013595)","Nob Hill","3","2026/04/16 03:34:45 AM","2026/04/17 05:23:32 AM"
"26EXC-01641","07TH ST","ODD FELLOWS WAY \ STEVENSON ST","MISSION ST","Excavation","Ronan Construction Inc.","415-779-5262","8th St, Clay St and Leavenworth St - Pavement Renovation and Sewer Replacement","04/15/2026","APPROVED","366001","94103","05/01/2026","10/28/2026",,"415-779-5262",,,"6009293,69466","2111976,27708","37,77960876466","-122,41143498911",,"POINT (-122.41143498911158 37.77960876465892)","POINT (-122.411434989 37.779608765)","South of Market","6","2026/04/16 03:34:45 AM","2026/04/17 05:23:32 AM"
"26EXC-01027","07TH AVE","CALIFORNIA ST \ CORNWALL ST","CLEMENT ST","Excavation","Michael O'Shaugnessy Construction Inc.","4155924017","Various Locations Pavement Renovation No.67b, Sewer Replacement, and Overhead Contact System Local Isolation","03/18/2026","APPROVED","351000","94118","04/16/2026","09/28/2026",,"415-799-7043","David Barajas",,"5993686,65375","2113852,17981","37,78387174362","-122,46556235031",,"POINT (-122.46556235031278 37.78387174361581)","POINT (-122.46556235 37.783871744)","Inner Richmond","1","2026/03/19 03:00:27 AM","2026/03/20 05:26:59 AM"
"26EXC-01641","SACRAMENTO ST","LARKIN ST","POLK ST","Excavation","Ronan Construction Inc.","415-779-5262","8th St, Clay St and Leavenworth St - Pavement Renovation and Sewer Replacement","04/15/2026","APPROVED","11247000","94109","05/01/2026","10/28/2026",,"415-779-5262",,,"6006894,75584","2116392,55062","37,79159992416","-122,42004746132",,"POINT (-122.42004746131788 37.79159992415815)","POINT (-122.420047461 37.791599924)","Nob Hill","3","2026/04/16 03:34:45 AM","2026/04/17 05:23:32 AM"
"26S-00036","BUSH ST","STEINER ST","PIERCE ST","SideSewer","Giron Construction","510-912-4206","Installation of Side Sewer/ Lower Lateral.","09/01/2026","ACTIVE","3454000","94115","09/03/2026","11/30/2026","2390 BUSH ST","510.686.9900","Cillian O'Donnell",,"6002349,0702","2114756,10578","37,78684950697","-122,43565833468","202603026740","POINT (-122.43565833468065 37.78684950696763)","POINT (-122.435658335 37.786849507)","Pacific Heights","5","2026/09/03 03:03:51 AM","2026/09/04 05:17:45 AM"
"26EXC-01027","CALIFORNIA ST","08TH AVE","09TH AVE","Excavation","Michael O'Shaugnessy Construction Inc.","4155924017","Various Locations Pavement Renovation No.67b, Sewer Replacement, and Overhead Contact System Local Isolation","03/18/2026","APPROVED","3584000","94118","04/16/2026","09/28/2026",,"415-799-7043","David Barajas",,"5993211,29625","2114160,93161","37,78469206311","-122,46722935389",,"POINT (-122.46722935389421 37.78469206311382)","POINT (-122.467229354 37.784692063)","Inner Richmond","1","2026/03/19 03:00:27 AM","2026/03/20 05:26:59 AM"
"26EXC-01027","CALIFORNIA ST","07TH AVE \ CORNWALL ST","08TH AVE","Excavation","Michael O'Shaugnessy Construction Inc.","4155924017","Various Locations Pavement Renovation No.67b, Sewer Replacement, and Overhead Contact System Local Isolation","03/18/2026","APPROVED","3583000","94118","04/16/2026","09/28/2026",,"415-799-7043","David Barajas",,"5993519,9813","2114187,93289","37,78478401551","-122,46616337793",,"POINT (-122.46616337793041 37.7847840155074)","POINT (-122.466163378 37.784784016)","Inner Richmond","1","2026/03/19 03:00:27 AM","2026/03/20 05:26:59 AM"
"26EXC-01027","07TH AVE","LAKE ST","CALIFORNIA ST \ CORNWALL ST","Excavation","Michael O'Shaugnessy Construction Inc.","4155924017","Various Locations Pavement Renovation No.67b, Sewer Replacement, and Overhead Contact System Local Isolation","03/18/2026","APPROVED","350000","94118","04/16/2026","09/28/2026",,"415-799-7043","David Barajas",,"5993662,23238","2114533,0856","37,78573991679","-122,46569632502",,"POINT (-122.46569632501716 37.78573991678919)","POINT (-122.465696325 37.785739917)","Inner Richmond","1","2026/03/19 03:00:27 AM","2026/03/20 05:26:59 AM"
"26EXC-01027","09TH AVE","CALIFORNIA ST","CLEMENT ST","Excavation","Michael O'Shaugnessy Construction Inc.","4155924017","Various Locations Pavement Renovation No.67b, Sewer Replacement, and Overhead Contact System Local Isolation","03/18/2026","APPROVED","424000","94118","04/16/2026","09/28/2026",,"415-799-7043","David Barajas",,"5993068,95257","2113815,51491","37,78373542539","-122,46769668164",,"POINT (-122.4676966816411 37.783735425388436)","POINT (-122.467696682 37.783735425)","Inner Richmond","1","2026/03/19 03:00:27 AM","2026/03/20 05:26:59 AM"
"26EXC-01027","10TH AVE","LAKE ST","CALIFORNIA ST","Excavation","Michael O'Shaugnessy Construction Inc.","4155924017","Various Locations Pavement Renovation No.67b, Sewer Replacement, and Overhead Contact System Local Isolation","03/18/2026","APPROVED","462000","94118","04/16/2026","09/28/2026",,"415-799-7043","David Barajas",,"5992733,11378","2114484,08272","37,78555173226","-122,46890721601",,"POINT (-122.46890721601423 37.78555173225893)","POINT (-122.468907216 37.785551732)","Inner Richmond","1","2026/03/19 03:00:27 AM","2026/03/20 05:26:59 AM"
"26EXC-01027","08TH AVE","LAKE ST","CALIFORNIA ST","Excavation","Michael O'Shaugnessy Construction Inc.","4155924017","Various Locations Pavement Renovation No.67b, Sewer Replacement, and Overhead Contact System Local Isolation","03/18/2026","APPROVED","387000","94118","04/16/2026","09/28/2026",,"415-799-7043","David Barajas",,"5993353,4791","2114503,84477","37,7856418155","-122,46676238848",,"POINT (-122.46676238847576 37.78564181550426)","POINT (-122.466762388 37.785641816)","Inner Richmond","1","2026/03/19 03:00:27 AM","2026/03/20 05:26:59 AM"
"25EXC-05457","FRANKLIN ST","GOLDEN GATE AVE","ELM ST","Excavation","Bay Area Lightworks","415-822-2336","Automated Photo Enforcement System Upgrade, Contract 2, Sourcing Event ID No. 0000008917","12/04/2025","APPROVED","5808000","94102","12/08/2025","01/31/2027",,"415-822-2336","Eduard Rizal Salvador",,"6006212,30221","2112565,64214","37,78105370391","-122,42213675135",,"POINT (-122.42213675135147 37.781053703909876)","POINT (-122.422136751 37.781053704)","Western Addition","2","2025/12/08 03:49:13 AM","2025/12/09 05:20:36 AM"
"25EXC-03925","GRACE ST","MISSION ST",,"Excavation","Precision Engineering, Inc.","(415) 621-4882","West Soma, Panhandle and Inner Sunset Sewer Improvements","07/10/2026","APPROVED","24309000","0","09/21/2025","12/03/2026",,"(415) 760-8744",,,"6008093,72385","2110543,47126","37,77560724353","-122,41548475012",,"POINT (-122.4154847501183 37.77560724352598)","POINT (-122.41548475 37.775607244)","South of Market","6","2026/07/13 03:17:29 AM","2026/07/14 05:22:44 AM"
"25EXC-03925","08TH ST","BRYANT ST","BRANNAN ST","Excavation","Precision Engineering, Inc.","(415) 621-4882","West Soma, Panhandle and Inner Sunset Sewer Improvements","07/10/2026","APPROVED","416000","94103","09/21/2025","12/03/2026",,"(415) 760-8744",,,"6010750,23431","2109143,17091","37,77191130044","-122,40619650589",,"POINT (-122.40619650589493 37.771911300437054)","POINT (-122.406196506 37.7719113)","South of Market","6","2026/07/13 03:17:29 AM","2026/07/14 05:22:44 AM"
"25EXC-03925","HARRISON ST","BERWICK PL","08TH ST","Excavation","Precision Engineering, Inc.","(415) 621-4882","West Soma, Panhandle and Inner Sunset Sewer Improvements","07/10/2026","APPROVED","6731000","94103","09/21/2025","12/03/2026",,"(415) 760-8744",,,"6010203,92654","2109935,17948","37,77405539944","-122,4081420997",,"POINT (-122.40814209970193 37.77405539944263)","POINT (-122.4081421 37.774055399)","South of Market","6","2026/07/13 03:17:29 AM","2026/07/14 05:22:44 AM"
"25EXC-03925","MISSION ST","LASKIE ST","09TH ST","Excavation","Precision Engineering, Inc.","(415) 621-4882","West Soma, Panhandle and Inner Sunset Sewer Improvements","07/10/2026","APPROVED","9104000","94103","09/21/2025","12/03/2026",,"(415) 760-8744",,,"6008411,00436","2110850,86076","37,77646909068","-122,41440895085",,"POINT (-122.41440895085302 37.77646909068098)","POINT (-122.414408951 37.776469091)","South of Market","6","2026/07/13 03:17:29 AM","2026/07/14 05:22:44 AM"
"25EXC-03925","JUDAH ST","07TH AVE","08TH AVE","Excavation","Precision Engineering, Inc.","(415) 621-4882","West Soma, Panhandle and Inner Sunset Sewer Improvements","07/10/2026","APPROVED","7642000","94122","09/21/2025","12/03/2026",,"(415) 760-8744",,,"5993805,63545","2105973,30338","37,76224530855","-122,46457842984",,"POINT (-122.4645784298413 37.762245308552615)","POINT (-122.46457843 37.762245309)","Inner Sunset","7","2026/07/13 03:17:29 AM","2026/07/14 05:22:44 AM"
"26EXC-01641","CLEMENTINA ST","KAPLAN LN",,"Excavation","Ronan Construction Inc.","415-779-5262","8th St, Clay St and Leavenworth St - Pavement Renovation and Sewer Replacement","04/15/2026","APPROVED","30016000","0","05/01/2026","10/28/2026",,"415-779-5262",,"true","6012989,91695","2113775,33053","37,78475517391","-122,39877437189",,"POINT (-122.39877437189428 37.78475517390872)","POINT (-122.398774372 37.784755174)","Financial District/South Beach","6","2026/04/16 03:34:45 AM","2026/04/17 05:23:32 AM"
"20IE-00666","WALLER ST","CASTRO ST \ DIVISADERO ST","ALPINE TER","StrtImprov","Zen Construction","415-910-9171","Remove existing driveway curb cuts and restore City Standard curb and sidewalk per approved plan, saw-cut 2’ of AC gutter and replace with 2” ACWS over 8” concrete base. Additional paving and pavement conform to adjacent property as directed by the BSM inspector. Field inspection is MANDATORY prior to excavation and pouring concrete, Call 1-628-271-2000 or email SFPW-bsminspects@sfSFPW.org  to schedule preconstruction site meeting.  This permit is in conjunction with MSE permit and Special Sidewalk Pavers permit.","04/01/2026","ACTIVE","13368000","94117",,"09/15/2027","845 WALLER ST","Refer to Agent","Geyona Dean",,"6001672,85272","2108678,29411","37,77012293768","-122,4375624697","202009164260","POINT (-122.43756246969976 37.770122937675076)","POINT (-122.43756247 37.770122938)","Haight Ashbury","8","2026/04/03 02:58:31 AM","2026/04/04 05:22:57 AM"
